,Pattern,Result,ResultNum,Percentage
171,"[True, True, True, True, False, False, True]",[False],112,4.464285714285714
172,"[True, True, True, True, False, False, True, False]",[True],70,4.285714285714286
173,"[True, True, True, True, False, False, True, False, True]",[False],42,4.761904761904762
174,"[True, True, True, True, False, False, True, False, True, False]",[True],28,7.142857142857142
175,"[True, True, True, True, False, False, True, False, True, False, True]",[True],28,7.142857142857142
176,"[True, True, True, True, False, False, True, False, True, False, True, True]",[False],28,7.142857142857142
177,"[True, True, True, True, False, False, True, False, True, False, True, True, False]",[True],28,3.571428571428571
178,"[True, True, True, True, False, False, True, False, True, False, True, True, False, True]",[True],14,7.142857142857142
179,"[True, True, True, False, False, True]",[False],196,4.081632653061225
180,"[True, True, True, False, False, True, False]",[True],112,4.464285714285714
181,"[True, True, True, False, False, True, False, True]",[True],70,4.285714285714286
182,"[True, True, True, False, False, True, False, True, False]",[True],28,7.142857142857142
183,"[True, True, True, False, False, True, False, True, False, True]",[True],28,7.142857142857142
184,"[True, True, True, False, False, True, False, True, False, True, True]",[False],28,7.142857142857142
185,"[True, True, True, False, False, True, False, True, False, True, True, False]",[True],28,3.571428571428571
186,"[True, True, True, False, False, True, False, True, False, True, True, False, True]",[True],14,7.142857142857142
187,"[True, True, True, False, False, True, False, True, False, True, True, False, True, True]",[True],14,7.142857142857142
188,"[True, True, False, False, True]",[False],427,4.449648711943794
189,"[True, True, False, False, True, False]",[True],258,4.651162790697675
190,"[True, True, False, False, True, False, True]",[False],168,3.571428571428571
191,"[True, True, False, False, True, False, True, False]",[False],84,4.761904761904762
192,"[True, True, False, False, True, False, True, False, True]",[True],28,7.142857142857142
193,"[True, True, False, False, True, False, True, False, True, True]",[False],28,7.142857142857142
194,"[True, True, False, False, True, False, True, False, True, True, False]",[True],28,3.571428571428571
195,"[True, True, False, False, True, False, True, False, True, True, False, True]",[True],14,7.142857142857142
196,"[True, True, False, False, True, False, True, False, True, True, False, True, True]",[True],14,7.142857142857142
197,"[True, True, False, False, True, False, True, False, True, True, False, True, True, True]",[False],14,7.142857142857142
198,"[True, False, False, True, False, True, False]",[False],126,3.968253968253968
199,"[True, False, False, True, False, True, False, True]",[True],56,5.357142857142857
200,"[True, False, False, True, False, True, False, True, True]",[False],42,4.761904761904762
201,"[True, False, False, True, False, True, False, True, True, False]",[True],28,3.571428571428571
202,"[True, False, False, True, False, True, False, True, True, False, True]",[True],14,7.142857142857142
203,"[True, False, False, True, False, True, False, True, True, False, True, True]",[True],14,7.142857142857142
204,"[True, False, False, True, False, True, False, True, True, False, True, True, True]",[False],14,7.142857142857142
205,"[True, False, False, True, False, True, False, True, True, False, True, True, True, False]",[False],14,7.142857142857142
206,"[False, False, True, False, True, False]",[False],238,4.201680672268908
207,"[False, False, True, False, True, False, True]",[True],98,5.1020408163265305
208,"[False, False, True, False, True, False, True, True]",[False],70,5.714285714285714
209,"[False, False, True, False, True, False, True, True, False]",[False],56,5.357142857142857
210,"[False, False, True, False, True, False, True, True, False, True]",[True],14,7.142857142857142
211,"[False, False, True, False, True, False, True, True, False, True, True]",[True],14,7.142857142857142
212,"[False, False, True, False, True, False, True, True, False, True, True, True]",[False],14,7.142857142857142
213,"[False, False, True, False, True, False, True, True, False, True, True, True, False]",[False],14,7.142857142857142
214,"[False, False, True, False, True, False, True, True, False, True, True, True, False, False]",[False],14,7.142857142857142
215,"[False, True, False, True, False]",[True],448,3.571428571428571
216,"[False, True, False, True, False, True]",[True],224,3.571428571428571
217,"[False, True, False, True, False, True, True]",[False],112,4.464285714285714
218,"[False, True, False, True, False, True, True, False]",[False],70,4.285714285714286
219,"[False, True, False, True, False, True, True, False, True]",[True],28,7.142857142857142
220,"[False, True, False, True, False, True, True, False, True, True]",[True],28,7.142857142857142
221,"[False, True, False, True, False, True, True, False, True, True, True]",[False],28,7.142857142857142
222,"[False, True, False, True, False, True, True, False, True, True, True, False]",[False],28,3.571428571428571
223,"[False, True, False, True, False, True, True, False, True, True, True, False, False]",[False],14,7.142857142857142
224,"[False, True, False, True, False, True, True, False, True, True, True, False, False, False]",[True],14,7.142857142857142
225,"[True, False, True, False]",[True],910,3.626373626373627
226,"[True, False, True, False, True]",[True],462,3.896103896103896
227,"[True, False, True, False, True, True]",[True],252,3.968253968253968
228,"[True, False, True, False, True, True, False]",[True],112,3.571428571428571
229,"[True, False, True, False, True, True, False, True]",[True],56,5.357142857142857
230,"[True, False, True, False, True, True, False, True, True]",[True],42,4.761904761904762
231,"[True, False, True, False, True, True, False, True, True, True]",[False],28,7.142857142857142
232,"[True, False, True, False, True, True, False, True, True, True, False]",[False],28,3.571428571428571
233,"[True, False, True, False, True, True, False, True, True, True, False, False]",[False],14,7.142857142857142
234,"[True, False, True, False, True, True, False, True, True, True, False, False, False]",[True],14,7.142857142857142
235,"[True, False, True, False, True, True, False, True, True, True, False, False, False, True]",[True],14,7.142857142857142
236,"[False, True, False, True, True, False]",[False],233,4.291845493562231
237,"[False, True, False, True, True, False, True]",[True],98,4.081632653061225
238,"[False, True, False, True, True, False, True, True]",[True],56,3.571428571428571
239,"[False, True, False, True, True, False, True, True, True]",[False],28,7.142857142857142
240,"[False, True, False, True, True, False, True, True, True, False]",[False],28,3.571428571428571
